,Alpha-3 code,gini_index
0,ALB,29.0
1,DZA,27.6
2,AGO,42.7
3,ARG,42.4
4,ARM,32.5
5,AUS,34.7
6,AUT,30.5
7,AZE,16.6
8,BGD,32.4
9,BLR,27.0
10,BEL,27.7
11,BLZ,53.3
12,BEN,47.8
13,BTN,37.4
14,BOL,44.6
15,BIH,32.7
16,BWA,60.5
17,BRA,51.3
18,BGR,37.4
19,BFA,35.3
20,BDI,38.6
21,CPV,47.2
22,CMR,46.6
23,CAN,34.0
24,CAF,56.2
25,TCD,43.3
26,CHL,47.7
27,CHN,42.2
28,COL,50.8
29,COM,45.3
30,COD,42.1
31,COG,48.9
32,CRI,48.7
33,CIV,41.5
34,HRV,31.1
35,CYP,34.0
36,CZE,25.9
37,DNK,28.2
38,DJI,44.1
39,DOM,45.3
40,ECU,45.0
41,EGY,31.8
42,SLV,40.0
43,EST,32.7
44,SWZ,51.5
45,ETH,39.1
46,FJI,36.7
47,FIN,27.1
48,FRA,32.7
49,GAB,38.0
50,GMB,35.9
51,GEO,36.5
52,DEU,31.7
53,GHA,42.4
54,GRC,36.0
55,GTM,48.3
56,GIN,33.7
57,GNB,50.7
58,GUY,44.6
59,HTI,41.1
60,HND,50.0
61,HUN,30.4
62,ISL,27.8
63,IND,35.1
64,IDN,39.5
65,IRN,38.8
66,IRQ,29.5
67,IRL,31.8
68,ISR,41.4
69,ITA,35.4
70,JAM,45.5
71,JPN,32.1
72,JOR,33.7
73,KAZ,26.9
74,KEN,40.8
75,KIR,37.0
76,KOR,31.6
77,XKX,26.5
78,KGZ,26.8
79,LAO,36.4
80,LVA,34.2
81,LBN,31.8
82,LSO,54.2
83,LBR,33.2
84,LTU,37.4
85,LUX,33.8
86,MKD,35.6
87,MDG,42.6
88,MWI,45.5
89,MYS,41.0
90,MDV,38.4
91,MLI,33.0
92,MLT,29.4
93,MRT,32.6
94,MUS,35.8
95,MEX,43.4
96,FSM,40.1
97,MDA,26.3
98,MNG,32.3
99,MNE,31.9
100,MAR,39.5
101,MOZ,54.0
102,MMR,38.1
103,NAM,59.1
104,NPL,32.8
105,NLD,28.2
106,NIC,46.2
107,NER,34.3
108,NGA,43.0
109,NOR,27.5
110,PAK,33.5
111,PAN,50.4
112,PNG,41.9
113,PRY,47.9
114,PER,43.8
115,PRT,35.5
116,ROU,35.9
117,RUS,37.7
118,RWA,45.1
119,WSM,42.0
120,STP,30.8
121,SEN,40.3
122,SYC,46.8
123,SLE,34.0
124,SVK,26.5
125,SVN,25.4
126,SLB,37.1
127,ZAF,63.0
128,SSD,46.3
129,ESP,36.2
130,LKA,39.8
131,LCA,42.6
132,SDN,35.4
133,SUR,57.6
134,SWE,29.2
135,CHE,32.3
136,SYR,35.8
137,TJK,34.0
138,TZA,37.8
139,THA,36.0
140,TLS,28.7
141,TGO,43.1
142,TON,37.5
143,TTO,40.3
144,TUN,35.8
145,TUR,41.9
146,TKM,40.8
147,TUV,39.1
148,UGA,42.8
149,UKR,25.0
150,GBR,33.2
151,USA,41.5
152,URY,39.7
153,UZB,35.3
154,VUT,37.6
155,VEN,46.9
156,VNM,35.3
157,PSE,33.7
158,YEM,36.7
159,ZMB,57.1
160,ZWE,43.2